Order,Date,Week,Start time,Runtime,Runtime min,Plot ID,Fertilized,Block,Fish code,Fish spp,Acropora base grazing,Porites base grazing,Cinderblock grazing
1,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,CTST,Ctenochaetus striatus,12,3,81
2,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,CHSP,Chlorurus spilurus,1,2,26
3,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,POPA,Pomacentrus pavo,5,0,9
4,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,ZESC,Zebrasoma scopas,2,0,0
5,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,ACTR,Acanthurus triostegus,0,0,182
6,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,CHEP,Chaetodon ephippium,0,0,1
7,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,SCPS,Scarus psittacus,0,0,2
8,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,ACBL,Acanthurus blochii,0,0,2
9,4/9/23,4,1100,1:26:13,86.21666667,1C,N,1,TOTAL,TOTAL,20,5,303
10,3/12/23,0,1137,1:19:19,79.31666667,1C,N,1,TOTAL,TOTAL,0,0,0
11,3/26/23,2,1132,1:24:56,84.93333333,1C,N,1,CTST,Ctenochaetus striatus,4,3,182
12,3/26/23,2,1132,1:24:56,84.93333333,1C,N,1,ACTR,Acanthurus triostegus,0,0,117
13,3/26/23,2,1132,1:24:56,84.93333333,1C,N,1,CHSP,Chlorurus spilurus,0,0,4
14,3/26/23,2,1132,1:24:56,84.93333333,1C,N,1,TOTAL,TOTAL,4,3,303
15,4/9/23,4,1101,1:19:54,79.9,1N,Y,1,CHLU,Chaetodon lunulatus,0,0,0
16,4/9/23,4,1101,1:19:54,79.9,1N,Y,1,SCPS,Scarus psittacus,0,9,45
17,4/9/23,4,1101,1:19:54,79.9,1N,Y,1,CTST,Ctenochaetus striatus,8,8,171
18,4/9/23,4,1101,1:19:54,79.9,1N,Y,1,CHCI,Chaetodon citrinellus,0,0,2
19,4/9/23,4,1101,1:19:54,79.9,1N,Y,1,ACTR,Acanthurus triostegus,0,0,142
20,4/9/23,4,1101,1:19:54,79.9,1N,Y,1,ACBL,Acanthurus blochii,0,0,52
21,4/9/23,4,1101,1:19:54,79.9,1N,Y,1,TOTAL,TOTAL,8,17,412
22,3/12/23,0,1136,1:21:03,81.05,1N,Y,1,TOTAL,TOTAL,0,0,0
23,3/26/23,2,1132,1:20:22,80.36666667,1N,Y,1,CTST,Ctenochaetus striatus,0,6,81
24,3/26/23,2,1132,1:20:22,80.36666667,1N,Y,1,CHCI,Chaetodon citrinellus,0,0,10
25,3/26/23,2,1132,1:20:22,80.36666667,1N,Y,1,ACBL,Acanthurus blochii,0,0,18
26,3/26/23,2,1132,1:20:22,80.36666667,1N,Y,1,SCPS,Scarus psittacus,0,0,6
27,3/26/23,2,1132,1:20:22,80.36666667,1N,Y,1,TOTAL,TOTAL,0,6,115
28,4/9/23,4,1102,1:23:26,83.43333333,2C,N,2,CTST,Ctenochaetus striatus,29,14,367
29,4/9/23,4,1102,1:23:26,83.43333333,2C,N,2,ZESC,Zebrasoma scopas,3,0,82
30,4/9/23,4,1102,1:23:26,83.43333333,2C,N,2,ACTR,Acanthurus triostegus,0,8,16
31,4/9/23,4,1102,1:23:26,83.43333333,2C,N,2,SCPS,Scarus psittacus,0,0,5
32,4/9/23,4,1102,1:23:26,83.43333333,2C,N,2,RHAC,Rhinecanthus aculeatus,0,0,2
33,4/9/23,4,1102,1:23:26,83.43333333,2C,N,2,TOTAL,TOTAL,32,22,472
34,3/12/23,0,1133,1:22:48,82.8,2C,N,2,TOTAL,TOTAL,0,0,0
35,3/26/23,2,1135,1:20:37,80.61666667,2C,N,2,CHLU,Chaetodon lunulatus,0,0,0
36,3/26/23,2,1135,1:20:37,80.61666667,2C,N,2,CTST,Ctenochaetus striatus,8,1,122
37,3/26/23,2,1135,1:20:37,80.61666667,2C,N,2,ACBL,Acanthurus blochii,0,2,33
38,3/26/23,2,1135,1:20:37,80.61666667,2C,N,2,RHAC,Rhinecanthus aculeatus,0,1,0
39,3/26/23,2,1135,1:20:37,80.61666667,2C,N,2,ZESC,Zebrasoma scopas,0,0,87
40,3/26/23,2,1135,1:20:37,80.61666667,2C,N,2,TOTAL,TOTAL,8,4,242
41,4/9/23,4,1102,1:21:37,81.61666667,2N,Y,2,CHLU,Chaetodon lunulatus,0,0,0
42,4/9/23,4,1102,1:21:37,81.61666667,2N,Y,2,ZESC,Zebrasoma scopas,26,37,795
43,4/9/23,4,1102,1:21:37,81.61666667,2N,Y,2,CTST,Ctenochaetus striatus,7,4,153
44,4/9/23,4,1102,1:21:37,81.61666667,2N,Y,2,CHSP,Chlorurus spilurus,1,1,0
45,4/9/23,4,1102,1:21:37,81.61666667,2N,Y,2,SCPS,Scarus psittacus,0,0,15
46,4/9/23,4,1102,1:21:37,81.61666667,2N,Y,2,TOTAL,TOTAL,34,42,963
47,3/12/23,0,1134,1:27:25,87.41666667,2N,Y,2,TOTAL,TOTAL,0,0,0
48,3/26/23,2,1134,1:23:08,83.13333333,2N,Y,2,CHLU,Chaetodon lunulatus,0,0,0
49,3/26/23,2,1134,1:23:08,83.13333333,2N,Y,2,CTST,Ctenochaetus striatus,4,0,117
50,3/26/23,2,1134,1:23:08,83.13333333,2N,Y,2,ZESC,Zebrasoma scopas,19,23,191
51,3/26/23,2,1134,1:23:08,83.13333333,2N,Y,2,CHCI,Chaetodon citrinellus,2,0,60
52,3/26/23,2,1134,1:23:08,83.13333333,2N,Y,2,CHSP,Chlorurus spilurus,0,10,321
53,3/26/23,2,1134,1:23:08,83.13333333,2N,Y,2,SCPS,Scarus psittacus,0,0,7
54,3/26/23,2,1134,1:23:08,83.13333333,2N,Y,2,TOTAL,TOTAL,25,33,696
55,4/9/23,4,1104,1:23:44,83.73333333,3C,N,3,ACTR,Acanthurus triostegus,41,9,158
56,4/9/23,4,1104,1:23:44,83.73333333,3C,N,3,CTST,Ctenochaetus striatus,2,2,74
57,4/9/23,4,1104,1:23:44,83.73333333,3C,N,3,ACBL,Acanthurus blochii,0,1,108
58,4/9/23,4,1104,1:23:44,83.73333333,3C,N,3,SCPS,Scarus psittacus,0,0,41
59,4/9/23,4,1104,1:23:44,83.73333333,3C,N,3,TOTAL,TOTAL,43,12,381
60,3/12/23,0,1132,1:26:29,86.48333333,3C,N,3,TOTAL,TOTAL,0,0,0
61,3/26/23,2,1136,1:28:40,88.66666667,3C,N,3,ACTR,Acanthurus triostegus,5,2,116
62,3/26/23,2,1136,1:28:40,88.66666667,3C,N,3,ACBL,Acanthurus blochii,16,3,154
63,3/26/23,2,1136,1:28:40,88.66666667,3C,N,3,TOTAL,TOTAL,21,5,270
64,4/9/23,4,1103,1:24:31,84.51666667,3N,Y,3,CTST,Ctenochaetus striatus,2,10,191
65,4/9/23,4,1103,1:24:31,84.51666667,3N,Y,3,ACTR,Acanthurus triostegus,62,9,501
66,4/9/23,4,1103,1:24:31,84.51666667,3N,Y,3,ACBL,Acanthurus blochii,1,4,85
67,4/9/23,4,1103,1:24:31,84.51666667,3N,Y,3,SCPS,Scarus psittacus,0,0,38
68,4/9/23,4,1103,1:24:31,84.51666667,3N,Y,3,EPIN,Epibulus insidiator,0,0,3
69,4/9/23,4,1103,1:24:31,84.51666667,3N,Y,3,TOTAL,TOTAL,65,23,818
70,3/12/23,0,1131,1:17:06,77.1,3N,Y,3,ACBL,Acanthurus blochii,0,0,4
71,3/12/23,0,1131,1:17:06,77.1,3N,Y,3,TOTAL,TOTAL,0,0,4
72,3/26/23,2,1137,1:26:41,86.68333333,3N,Y,3,ACTR,Acanthurus triostegus,5,10,370
73,3/26/23,2,1137,1:26:41,86.68333333,3N,Y,3,ACBL,Acanthurus blochii,3,1,333
74,3/26/23,2,1137,1:26:41,86.68333333,3N,Y,3,TOTAL,TOTAL,8,11,703
75,4/10/23,4,1101,1:29:03,89.05,4C,N,4,ACBL,Acanthurus blochii,1,0,53
76,4/10/23,4,1101,1:29:03,89.05,4C,N,4,ACTR,Acanthurus triostegus,5,23,151
77,4/10/23,4,1101,1:29:03,89.05,4C,N,4,CTST,Ctenochaetus striatus,0,0,10
78,4/10/23,4,1101,1:29:03,89.05,4C,N,4,TOTAL,TOTAL,6,23,214
79,3/13/23,0,1106,1:28:16,88.26666667,4C,N,4,ACTR,Acanthurus triostegus,3,0,3
80,3/13/23,0,1106,1:28:16,88.26666667,4C,N,4,TOTAL,TOTAL,3,0,3
81,3/27/23,2,1112,1:25:05,85.08333333,4C,N,4,CTST,Ctenochaetus striatus,0,1,56
82,3/27/23,2,1112,1:25:05,85.08333333,4C,N,4,ACBL,Acanthurus blochii,0,4,27
83,3/27/23,2,1112,1:25:05,85.08333333,4C,N,4,ACTR,Acanthurus triostegus,0,0,15
84,3/27/23,2,1112,1:25:05,85.08333333,4C,N,4,TOTAL,TOTAL,0,5,98
85,4/10/23,4,1100,1:22:56,82.93333333,4N,Y,4,ACTR,Acanthurus triostegus,1,0,153
86,4/10/23,4,1100,1:22:56,82.93333333,4N,Y,4,ACBL,Acanthurus blochii,0,1,35
87,4/10/23,4,1100,1:22:56,82.93333333,4N,Y,4,RHAC,Rhinecanthus aculeatus,0,0,2
88,4/10/23,4,1100,1:22:56,82.93333333,4N,Y,4,TOTAL,TOTAL,1,1,190
89,3/13/23,0,1105,1:28:46,88.76666667,4N,Y,4,ACBL,Acanthurus blochii,0,0,76
90,3/13/23,0,1105,1:28:46,88.76666667,4N,Y,4,ZESC,Zebrasoma scopas,0,0,1
91,3/13/23,0,1105,1:28:46,88.76666667,4N,Y,4,TOTAL,TOTAL,0,0,77
92,3/27/23,2,1117,1:23:23,83.38333333,4N,Y,4,ACTR,Acanthurus triostegus,5,0,105
93,3/27/23,2,1117,1:23:23,83.38333333,4N,Y,4,CTST,Ctenochaetus striatus,0,2,88
94,3/27/23,2,1117,1:23:23,83.38333333,4N,Y,4,ACBL,Acanthurus blochii,0,0,4
95,3/27/23,2,1117,1:23:23,83.38333333,4N,Y,4,ZESC,Zebrasoma scopas,0,0,1
96,3/27/23,2,1117,1:23:23,83.38333333,4N,Y,4,TOTAL,TOTAL,5,2,198
97,4/10/23,4,1102,1:23:20,83.33333333,5C,N,5,CHSP,Chlorurus spilurus,0,0,38
98,4/10/23,4,1102,1:23:20,83.33333333,5C,N,5,RHAC,Rhinecanthus aculeatus,0,0,1
99,4/10/23,4,1102,1:23:20,83.33333333,5C,N,5,ACTR,Acanthurus triostegus,0,0,1
100,4/10/23,4,1102,1:23:20,83.33333333,5C,N,5,ACBL,Acanthurus blochii,0,0,3
101,4/10/23,4,1102,1:23:20,83.33333333,5C,N,5,TOTAL,TOTAL,0,0,43
102,3/13/23,0,1108,1:22:04,82.06666667,5C,N,5,TOTAL,TOTAL,0,0,0
103,3/27/23,2,1110,1:25:23,85.38333333,5C,N,5,ACTR,Acanthurus triostegus,4,1,38
104,3/27/23,2,1110,1:25:23,85.38333333,5C,N,5,ACBL,Acanthurus blochii,0,1,259
105,3/27/23,2,1110,1:25:23,85.38333333,5C,N,5,CHVA,Chaetodon vagabundus,0,0,1
106,3/27/23,2,1110,1:25:23,85.38333333,5C,N,5,TOTAL,TOTAL,4,2,298
107,4/10/23,4,1102,1:27:26,87.43333333,5N,Y,5,ACBL,Acanthurus blochii,2,1,49
108,4/10/23,4,1102,1:27:26,87.43333333,5N,Y,5,SCPS,Scarus psittacus,0,0,4
109,4/10/23,4,1102,1:27:26,87.43333333,5N,Y,5,RHAC,Rhinecanthus aculeatus,0,0,2
110,4/10/23,4,1102,1:27:26,87.43333333,5N,Y,5,ACTR,Acanthurus triostegus,0,0,88
111,4/10/23,4,1102,1:27:26,87.43333333,5N,Y,5,TOTAL,TOTAL,2,1,143
112,3/13/23,0,1107,1:22:32,82.53333333,5N,Y,5,ACBL,Acanthurus blochii,0,0,1
113,3/13/23,0,1107,1:22:32,82.53333333,5N,Y,5,TOTAL,TOTAL,0,0,1
114,3/27/23,2,1111,1:21:43,81.71666667,5N,Y,5,ACBL,Acanthurus blochii,1,0,165
115,3/27/23,2,1111,1:21:43,81.71666667,5N,Y,5,ACTR,Acanthurus triostegus,0,1,116
116,3/27/23,2,1111,1:21:43,81.71666667,5N,Y,5,SCPS,Scarus psittacus,0,0,61
117,3/27/23,2,1111,1:21:43,81.71666667,5N,Y,5,RHAC,Rhinecanthus aculeatus,0,0,1
118,3/27/23,2,1111,1:21:43,81.71666667,5N,Y,5,ZESC,Zebrasoma scopas,0,0,5
119,3/27/23,2,1111,1:21:43,81.71666667,5N,Y,5,TOTAL,TOTAL,1,1,348
120,4/10/23,4,1103,1:21:20,81.33333333,6C,N,6,CHLU,Chaetodon lunulatus,0,0,0
121,4/10/23,4,1103,1:21:20,81.33333333,6C,N,6,SCPS,Scarus psittacus,12,13,23
122,4/10/23,4,1103,1:21:20,81.33333333,6C,N,6,ZESC,Zebrasoma scopas,8,7,342
123,4/10/23,4,1103,1:21:20,81.33333333,6C,N,6,CTST,Ctenochaetus striatus,3,2,95
124,4/10/23,4,1103,1:21:20,81.33333333,6C,N,6,TOTAL,TOTAL,23,22,460
125,3/13/23,0,1109,1:20:49,80.81666667,6C,N,6,CHLU,Chaetodon lunulatus,0,0,0
126,3/13/23,0,1109,1:20:49,80.81666667,6C,N,6,CTST,Ctenochaetus striatus,1,0,55
127,3/13/23,0,1109,1:20:49,80.81666667,6C,N,6,ZESC,Zebrasoma scopas,20,10,35
128,3/13/23,0,1109,1:20:49,80.81666667,6C,N,6,TOTAL,TOTAL,21,10,90
129,3/27/23,2,1108,1:26:51,86.85,6C,N,6,CTST,Ctenochaetus striatus,7,7,198
130,3/27/23,2,1108,1:26:51,86.85,6C,N,6,SCPS,Scarus psittacus,0,0,2
131,3/27/23,2,1108,1:26:51,86.85,6C,N,6,ZESC,Zebrasoma scopas,17,6,369
132,3/27/23,2,1108,1:26:51,86.85,6C,N,6,TOTAL,TOTAL,24,13,569
133,4/10/23,4,1104,1:26:54,86.9,6N,Y,6,CTST,Ctenochaetus striatus,7,3,250
134,4/10/23,4,1104,1:26:54,86.9,6N,Y,6,ZESC,Zebrasoma scopas,13,2,325
135,4/10/23,4,1104,1:26:54,86.9,6N,Y,6,SCPS,Scarus psittacus,0,0,14
136,4/10/23,4,1104,1:26:54,86.9,6N,Y,6,ACBL,Acanthurus blochii,0,0,4
137,4/10/23,4,1104,1:26:54,86.9,6N,Y,6,EPIN,Epibulus insidiator,0,0,1
138,4/10/23,4,1104,1:26:54,86.9,6N,Y,6,TOTAL,TOTAL,20,5,594
139,3/13/23,0,1110,1:26:38,86.63333333,6N,Y,6,CTST,Ctenochaetus striatus,0,0,63
140,3/13/23,0,1110,1:26:38,86.63333333,6N,Y,6,ZESC,Zebrasoma scopas,0,0,3
141,3/13/23,0,1110,1:26:38,86.63333333,6N,Y,6,TOTAL,TOTAL,0,0,66
142,3/27/23,2,1109,1:23:23,83.38333333,6N,Y,6,CTST,Ctenochaetus striatus,6,9,291
143,3/27/23,2,1109,1:23:23,83.38333333,6N,Y,6,ZESC,Zebrasoma scopas,22,16,219
144,3/27/23,2,1109,1:23:23,83.38333333,6N,Y,6,CHCI,Chaetodon citrinellus,0,0,33
145,3/27/23,2,1109,1:23:23,83.38333333,6N,Y,6,TOTAL,TOTAL,28,25,543
146,4/11/23,4,1105,1:22:34,82.56666667,7C,N,7,CTST,Ctenochaetus striatus,7,17,190
147,4/11/23,4,1105,1:22:34,82.56666667,7C,N,7,SCPS,Scarus psittacus,0,4,35
148,4/11/23,4,1105,1:22:34,82.56666667,7C,N,7,ACTR,Acanthurus triostegus,0,0,90
149,4/11/23,4,1105,1:22:34,82.56666667,7C,N,7,RHAC,Rhinecanthus aculeatus,0,0,1
150,4/11/23,4,1105,1:22:34,82.56666667,7C,N,7,TOTAL,TOTAL,7,21,316
151,3/14/23,0,1100,1:29:08,89.13333333,7C,N,7,ACBL,Acanthurus blochii,0,13,173
152,3/14/23,0,1100,1:29:08,89.13333333,7C,N,7,TOTAL,TOTAL,0,13,173
153,3/28/23,2,1111,1:26:40,86.66666667,7C,N,7,ACTR,Acanthurus triostegus,0,0,83
154,3/28/23,2,1111,1:26:40,86.66666667,7C,N,7,CTST,Ctenochaetus striatus,7,5,131
155,3/28/23,2,1111,1:26:40,86.66666667,7C,N,7,ACBL,Acanthurus blochii,0,0,16
156,3/28/23,2,1111,1:26:40,86.66666667,7C,N,7,TOTAL,TOTAL,7,5,230
157,4/11/23,4,1106,1:28:40,88.66666667,7N,Y,7,CTST,Ctenochaetus striatus,0,8,93
158,4/11/23,4,1106,1:28:40,88.66666667,7N,Y,7,ACTR,Acanthurus triostegus,0,0,20
159,4/11/23,4,1106,1:28:40,88.66666667,7N,Y,7,ACNI,Acanthurus nigrofuscus,0,0,3
160,4/11/23,4,1106,1:28:40,88.66666667,7N,Y,7,ACTR,Acanthurus triostegus,0,0,34
